Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Kenya,258.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,3.97,3.66,3.88,3.49,3.57,3.22,3.21,3.18,3.84,4.51,5.42,6.54,9.19,12.05,12.95,14.48,15.53,16.67,17.32,18.91,19.72,18.93,18.31,16.69,15.61,13.06,12.22,10.05,7.74,6.09,5.32,4.14,3.25,3.2,3.67,4.45,4.11,4.14,4.05,4.91,6.02,6.67,8.29,7.76,7.36,7.15,7.21,6.86,6.27,6.41,7.3,7.39,7.67,8.36,6.6,6.43,6.09,6.02,5.53,5.61,6.31,7.08,6.87,7.03,6.62,5.84,5.97,6.72,7.32,8.01,7.78,6.84,6.45,5.27,5.0,5.8,6.39,6.26,6.34,6.47,6.68,6.35,6.99,9.29,10.28,11.48,11.7,9.21,7.47,8.04,7.06,5.72,4.73,4.5,4.83,4.46,4.18,3.73,3.95,4.28,4.35,4.04,5.7,5.53,5.58,5.71,4.7,4.13,4.29,3.71,3.48,4.83,6.09,5.98,5.07,6.26,7.09,7.15,7.38,7.17,5.84,6.01,5.33,4.59,4.36,4.36,4.2,4.84,5.33,5.62,5.69,5.78,5.9,5.76,5.87,6.32,6.55,6.57,6.91,6.45,5.8,5.73,5.39,5.08,,,,"7,9","8,3","8,5","9,2"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Kenya,259.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,3.83,2.19,0.26,0.34,0.9,0.53,-1.15,0.5,0.52,1.72,2.54,1.62,1.09,2.84,8.17,6.33,6.98,8.47,7.13,6.31,8.74,9.58,10.02,9.6,10.58,11.85,11.58,,8.15,6.62,5.43,5.18,5.76,,,7.36,6.93,6.65,6.42,7.02,8.46,8.84,10.67,10.63,9.92,9.92,9.09,8.89,8.69,9.92,12.15,12.4,13.8,15.3,15.3,"15,5"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Kenya,260.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,3.16,2.55,2.79,2.25,2.77,2.86,5.8,6.48,7.05,7.2,6.82,6.48,7.33,7.71,8.83,8.75,8.91,9.58,6.73,6.21,7.67,7.53,7.37,8.07,6.86,7.63,7.08,,6.79,5.9,5.03,4.33,4.19,,,2.72,2.74,2.69,1.95,2.41,2.83,2.83,2.69,3.04,3.16,3.16,3.12,3.47,3.28,3.57,3.78,3.6,3.6,4.0,4.6,"4,8"
Clothing and footwear,PCPIA_PC_CP_A_PT,Kenya,261.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,3.81,3.85,4.09,4.27,4.17,4.1,4.17,4.58,4.73,4.15,3.41,2.8,2.43,2.37,2.33,2.12,2.05,1.94,1.79,1.57,1.47,1.47,1.52,1.78,1.77,2.09,1.91,,2.62,2.08,2.03,1.78,2.49,,,2.26,2.29,2.38,2.64,2.07,1.9,2.6,2.72,3.0,1.73,1.73,2.1,2.06,2.04,1.93,2.24,2.1,2.2,2.3,2.4,"2,5"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Kenya,262.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,5.74,8.98,11.8,13.73,14.17,14.4,16.7,17.44,17.12,13.69,13.47,12.68,12.35,8.19,5.78,4.56,4.07,4.09,1.39,0.99,0.91,2.47,2.4,2.66,3.02,4.47,2.25,,1.41,1.06,2.11,2.18,2.82,,,3.09,3.38,4.01,3.9,3.22,4.25,6.03,5.07,6.08,6.24,6.24,6.24,5.11,4.79,4.91,5.47,6.0,6.8,5.6,5.6,"7,3"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Kenya,263.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,4.29,4.25,4.61,4.51,4.64,4.66,4.63,4.86,4.68,4.37,3.95,3.58,3.03,2.95,2.5,2.46,2.12,1.93,1.82,1.55,1.31,1.33,1.24,1.09,0.93,1.91,1.92,,1.33,1.12,1.2,1.4,2.18,,,3.19,3.36,3.63,3.73,3.55,4.3,5.0,4.82,4.58,4.04,4.04,4.67,4.95,5.41,6.44,7.15,7.9,9.2,9.8,10.3,"10,7"
Health,PCPIM_PC_CP_A_PT,Kenya,264.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,3.29,3.29,3.48,3.98,4.22,6.18,5.69,5.9,5.92,4.81,4.51,4.52,4.47,4.51,4.55,4.01,3.75,1.77,1.58,1.35,1.4,1.3,1.2,1.19,0.85,1.01,0.94,,1.13,1.79,2.31,1.77,3.04,,,4.45,4.34,4.12,4.13,4.3,4.56,3.85,3.28,3.79,1.31,1.31,0.95,0.94,0.89,1.06,1.18,1.0,0.9,1.2,1.5,"1,6"
Transport,PCPIT_PC_CP_A_PT,Kenya,265.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.95,6.61,7.01,7.01,7.47,8.45,9.37,17.29,15.3,15.57,14.34,11.05,9.56,10.08,10.84,11.08,10.96,10.52,9.53,1.91,2.51,1.98,2.74,4.16,5.02,5.51,5.46,,6.89,11.12,13.07,12.95,13.54,,,14.24,16.73,18.12,17.19,16.76,14.71,10.33,7.93,9.21,8.14,8.14,8.1,6.84,4.54,3.66,6.88,6.4,7.1,7.0,7.6,"10,2"
Communication,PCPIEC_PC_CP_A_PT,Kenya,266.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.81,0.81,0.79,0.82,0.85,0.82,0.62,0.61,4.3,4.74,4.66,4.69,4.52,4.52,4.56,4.52,4.49,4.45,4.44,4.46,0.71,0.29,0.29,0.19,0.12,-0.07,0.5,,-0.04,0.09,0.8,0.32,0.42,,,0.8,0.84,0.98,1.02,1.4,1.72,3.46,2.35,2.91,2.31,2.31,2.23,2.48,2.51,2.41,2.46,2.4,2.4,0.9,0.9,"0,9"
Recreation and culture,PCPIR_PC_CP_A_PT,Kenya,267.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.67,1.43,1.4,1.53,1.52,1.45,1.55,1.61,1.67,1.51,1.04,0.9,0.83,0.58,0.69,0.5,0.47,0.54,0.46,0.38,0.34,0.31,0.23,0.36,0.31,1.04,0.92,,2.96,2.81,2.88,2.86,2.94,,,2.91,2.84,2.67,2.72,2.3,0.74,1.14,1.19,1.2,1.31,1.31,1.09,0.68,0.76,1.14,1.28,2.9,3.1,3.0,3.0,"3,5"
Education,PCPIED_PC_CP_A_PT,Kenya,268.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,5.08,5.08,5.09,5.07,5.11,5.11,5.11,4.9,4.8,4.94,4.93,1.48,1.24,1.24,1.45,1.47,1.5,1.56,1.52,1.58,1.58,1.44,1.38,1.65,1.8,1.62,1.42,,1.13,1.94,1.63,1.56,1.86,,,1.86,2.06,2.07,2.3,2.38,2.3,1.48,2.11,2.18,1.5,1.5,1.28,1.02,0.86,0.85,0.98,1.0,1.1,1.1,0.9,1
Restaurants and hotels,PCPIRE_PC_CP_A_PT,Kenya,269.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,6.87,6.61,6.04,4.92,4.77,4.75,5.0,5.04,4.32,4.2,3.6,3.36,3.04,3.04,3.23,2.96,2.68,2.8,2.27,2.13,1.94,2.38,2.12,2.32,2.13,3.36,2.75,,1.91,1.52,2.85,2.78,4.14,,,5.36,4.01,4.0,3.99,4.13,4.17,4.45,2.95,3.08,0.48,0.48,0.15,0.21,1.29,1.48,2.22,2.2,3.0,4.0,4.6,"4,8"
Insurance and Financial Services,,Kenya,270.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.54,,0.58,0.56,0.42,0.14,1.3,,,1.45,1.62,1.71,1.67,1.85,1.88,2.03,2.07,2.21,0.92,0.92,0.89,0.6,0.42,0.41,0.46,0.3,0.5,0.4,0.5,"0,5"
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,Kenya,271.0,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.58,4.61,4.74,4.19,4.12,4.01,4.2,4.3,4.44,4.18,3.9,3.52,3.16,3.15,3.07,2.92,2.95,2.84,2.52,2.35,1.98,1.88,1.67,1.34,1.32,3.13,2.38,,1.82,2.11,2.15,2.0,2.12,,,2.03,2.4,2.35,3.08,3.23,3.33,3.09,3.17,3.39,2.83,2.83,2.83,2.77,2.59,2.84,2.68,3.0,3.6,4.2,4.8,"5,4"
